ticker,region,sub_region,country,objective,asset_class,hedge_ccy,leverage_typ,emerging_mkt,single_stock
100D,Europe,Northern Europe,United Kingdom,Large Cap,Equity,nan,nan,False,False
100H,Europe,Northern Europe,United Kingdom,Large Cap,Equity,nan,nan,False,False
1OIS,,,,Energy,Commodity,nan,Short,False,False
2BRT,,,,Energy,Commodity,nan,Long,False,False
2BUL,,,,Precious Metals,Commodity,nan,Long,False,False
2NGA,,,,Energy,Commodity,nan,Long,False,False
3CFL,,,,Agriculture & Livestock,Commodity,nan,Long,False,False
3IN,,,,Infrastructure,Equity,nan,nan,False,False
3SUL,,,,Agriculture & Livestock,Commodity,nan,Long,False,False
3WHL,,,,Agriculture & Livestock,Commodity,nan,Long,False,False
500D,Americas,Northern America,United States,Large Cap,Equity,nan,nan,False,False
500G,Americas,Northern America,United States,Large Cap,Equity,nan,nan,False,False
500P,Americas,Northern America,United States,Large Cap,Equity,nan,nan,False,False
500U,Americas,Northern America,United States,Large Cap,Equity,nan,nan,False,False
5ESG,Americas,Northern America,United States,Large Cap,Equity,GBP,nan,False,False
5HED,,,,Value,Equity,nan,nan,False,False
5HEP,,,,Value,Equity,nan,nan,False,False
5HGG,,,,Value,Equity,nan,nan,False,False
5HGU,,,,Value,Equity,nan,nan,False,False
5OGU,Americas,Northern America,United States,Value,Equity,nan,nan,False,False
AADV,Europe,Northern Europe,United Kingdom,VCT,VCT,nan,nan,False,False
AAEV,Europe,Northern Europe,United Kingdom,VCT,VCT,nan,nan,False,False
AAIF,Asia,,,Income,Equity,nan,nan,False,False
AAS,Asia,,,Small/Mid Cap,Equity,nan,nan,False,False
AASG,Asia,,,Large/Mid Cap,Equity,nan,nan,True,False
AASU,Asia,,,Large/Mid Cap,Equity,nan,nan,True,False
AATG,Europe,Northern Europe,United Kingdom,Technology,VCT,nan,nan,False,False
AAVC,Europe,Northern Europe,United Kingdom,VCT,VCT,nan,nan,False,False
ABD,Asia,,,Large/Mid Cap,Equity,nan,nan,False,False
ACIC,Asia,Eastern Asia,China,Large/Mid Cap,Equity,nan,nan,False,False
ACWD,Europe,,,Large/Mid Cap,Equity,nan,nan,False,False
ACWI,Europe,,,Large/Mid Cap,Equity,nan,nan,False,False
ACWL,,,,Large/Mid Cap,Equity,nan,nan,False,False
ACWU,,,,Large/Mid Cap,Equity,nan,nan,False,False
ADIG,,,,Multi Asset,Multi Asset,nan,nan,False,False
AEGG,,,,Aggregate,Fixed Income,GBP,nan,False,False
AEI,Europe,Northern Europe,United Kingdom,Income,Equity,nan,nan,False,False
AEJ,Asia,,,Large/Mid Cap,Equity,nan,nan,False,False
AEJL,Asia,,,Large/Mid Cap,Equity,nan,nan,False,False
AEMD,,,,Large/Mid Cap,Equity,nan,nan,True,False
AEME,,,,Large/Mid Cap,Equity,nan,nan,True,False
AEMU,,,,Large/Mid Cap,Equity,nan,nan,True,False
AERI,,,,Clean Energy,Equity,nan,nan,False,False
AERS,,,,Clean Energy,Equity,nan,nan,False,False
AGAP,,,,Agriculture & Livestock,Commodity,nan,nan,False,False
AGBP,,,,Aggregate,Fixed Income,GBP,nan,False,False
AGCP,,,,Broad Based,Commodity,nan,nan,False,False
AGED,,,,Ageing Population,Equity,nan,nan,False,False
AGES,,,,Ageing Population,Equity,nan,nan,False,False
